No_Responden,X1.1,X1.2,X1.3,TOTAL X1,X2.1,X2.2,X2.3,TOTAL X2,X3.1,X3.2,X3.3,TOTAL X3,X4.1,X4.2,X4.3,TOTAL X4,Y1,Y2,Y3,Y4,SKOR_TOTAL_Y,LABEL,Skor_X1,Skor_X2,Skor_X3,Skor_X4,Total_Y
75.0,2,2,3,7,2,2,1,5,3,3,3,9,3,1,1,5,3,2,1,2,8.0,SEDANG,7,5,9,5,8
76.0,3,3,3,9,2,3,2,7,2,3,3,8,3,3,2,8,3,2,3,2,10.0,TINGGI,9,7,8,8,10
77.0,1,1,2,4,1,2,1,4,3,3,2,8,1,1,1,3,2,1,2,1,6.0,RENDAH,4,4,8,3,6
78.0,3,3,2,8,3,3,3,9,2,3,3,8,3,2,3,8,3,2,2,3,10.0,TINGGI,8,9,8,8,10
79.0,1,2,1,4,1,2,1,4,1,1,2,4,3,1,2,6,1,1,2,1,5.0,RENDAH,4,4,4,6,5
80.0,2,2,3,7,2,3,2,7,3,2,3,8,2,2,3,7,2,3,3,2,10.0,TINGGI,7,7,8,7,10
81.0,3,3,3,9,3,2,3,8,1,1,2,4,3,3,2,8,3,2,3,3,11.0,TINGGI,9,8,4,8,11
82.0,3,2,3,8,3,3,2,8,2,3,2,7,3,2,3,8,2,3,2,3,10.0,TINGGI,8,8,7,8,10
83.0,2,2,3,7,2,3,3,8,2,3,2,7,3,2,2,7,3,2,3,3,11.0,TINGGI,7,8,7,7,11
84.0,3,3,3,9,3,2,3,8,2,3,3,8,1,3,2,6,3,3,2,3,11.0,TINGGI,9,8,8,6,11
85.0,3,3,2,8,3,3,2,8,1,3,2,6,3,3,2,8,3,2,3,3,11.0,TINGGI,8,8,6,8,11
86.0,3,3,2,8,3,3,2,8,3,3,2,8,3,2,3,8,3,2,3,2,10.0,TINGGI,8,8,8,8,10
87.0,2,2,3,7,3,2,3,8,1,3,2,6,3,3,2,8,3,3,2,3,11.0,TINGGI,7,8,6,8,11
88.0,3,3,2,8,3,3,3,9,2,1,2,5,3,3,2,8,3,2,3,3,11.0,TINGGI,8,9,5,8,11
89.0,3,3,3,9,3,3,2,8,1,3,1,5,3,2,3,8,2,3,2,3,10.0,TINGGI,9,8,5,8,10
90.0,2,2,3,7,1,2,2,5,3,2,3,8,2,2,3,7,2,3,2,2,9.0,SEDANG,7,5,8,7,9
91.0,2,1,2,5,1,1,1,3,1,1,3,5,3,1,2,6,1,2,2,1,6.0,RENDAH,5,3,5,6,6
92.0,2,2,2,6,2,1,2,5,3,2,2,7,1,2,1,4,2,2,1,2,7.0,SEDANG,6,5,7,4,7
93.0,1,2,3,6,2,1,3,6,1,2,2,5,3,2,2,7,3,3,2,2,10.0,TINGGI,6,6,5,7,10
94.0,1,2,1,4,1,2,2,5,1,2,2,5,1,1,3,5,2,1,2,2,7.0,SEDANG,4,5,5,5,7
95.0,2,2,3,7,2,3,3,8,2,1,3,6,2,3,1,6,2,2,3,2,9.0,RENDAH,7,8,6,6,9
96.0,3,2,2,7,3,2,3,8,2,3,2,7,2,3,2,7,3,2,3,2,10.0,TINGGI,7,8,7,7,10
97.0,2,1,2,5,1,2,1,4,3,3,2,8,3,1,3,7,2,1,2,1,6.0,RENDAH,5,4,8,7,6
98.0,2,3,2,7,2,3,2,7,1,2,3,6,3,3,2,8,3,2,2,3,10.0,TINGGI,7,7,6,8,10
99.0,3,2,2,7,3,3,1,7,3,2,1,6,2,2,3,7,2,3,3,2,10.0,TINGGI,7,7,6,7,10
100.0,2,2,2,6,2,2,2,6,3,3,3,9,2,2,3,7,3,2,3,3,11.0,TINGGI,6,6,9,7,11
101.0,3,2,3,8,3,3,3,9,2,1,1,4,1,3,2,6,3,3,3,3,12.0,TINGGI,8,9,4,6,12
102.0,1,1,1,3,1,2,1,4,3,3,3,9,3,2,1,6,1,1,1,2,5.0,RENDAH,3,4,9,6,5
103.0,2,2,3,7,2,3,2,7,2,2,2,6,1,3,3,7,3,2,3,3,11.0,TINGGI,7,7,6,7,11
104.0,3,2,3,8,3,3,3,9,1,1,1,3,1,2,3,6,3,3,3,2,11.0,TINGGI,8,9,3,6,11
105.0,1,1,2,4,1,2,2,5,3,3,3,9,2,2,1,5,2,1,1,1,5.0,RENDAH,4,5,9,5,5
106.0,3,3,3,9,3,3,3,9,2,2,2,6,3,3,1,7,3,3,2,3,11.0,TINGGI,9,9,6,7,11
107.0,2,2,2,6,2,2,2,6,3,3,2,8,3,1,1,5,2,1,2,1,6.0,RENDAH,6,6,8,5,6
108.0,3,3,3,9,3,2,2,7,1,1,3,5,2,3,3,8,2,3,3,3,11.0,TINGGI,9,7,5,8,11
109.0,3,2,3,8,3,3,2,8,1,1,1,3,2,3,3,8,3,3,2,3,11.0,TINGGI,8,8,3,8,11
110.0,2,1,3,6,1,2,2,5,3,2,1,6,1,2,3,6,2,2,2,2,8.0,SEDANG,6,5,6,6,8
111.0,2,1,2,5,2,2,1,5,2,1,1,4,3,2,3,8,2,3,3,2,10.0,TINGGI,5,5,4,8,10
112.0,2,2,2,6,2,2,2,6,3,1,1,5,2,2,3,7,2,3,2,2,9.0,SEDANG,6,6,5,7,9
113.0,1,1,2,4,1,2,1,4,3,2,2,7,1,1,1,3,2,2,1,1,6.0,RENDAH,4,4,7,3,6
114.0,2,2,3,7,2,3,2,7,2,2,2,6,2,2,3,7,3,3,2,2,10.0,TINGGI,7,7,6,7,10
115.0,1,2,1,4,1,1,2,4,3,1,1,5,3,1,1,5,1,2,2,1,6.0,RENDAH,4,4,5,5,6
116.0,3,2,3,8,3,3,2,8,2,1,1,4,2,2,3,7,3,2,2,3,10.0,TINGGI,8,8,4,7,10
117.0,3,2,3,8,2,3,2,7,3,2,3,8,2,2,3,7,3,3,2,2,10.0,TINGGI,8,7,8,7,10
118.0,1,1,2,4,1,2,1,4,3,3,3,9,3,1,1,5,1,2,2,1,6.0,RENDAH,4,4,9,5,6
119.0,3,2,3,8,2,3,2,7,3,1,1,5,1,1,1,3,3,3,2,1,9.0,SEDANG,8,7,5,3,9
120.0,1,2,2,5,1,2,1,4,3,1,1,5,1,3,2,6,2,2,2,1,7.0,SEDANG,5,4,5,6,7
121.0,1,1,2,4,1,2,1,4,3,1,1,5,3,1,2,6,2,2,1,1,6.0,RENDAH,4,4,5,6,6
122.0,2,2,2,6,2,2,2,6,2,3,2,7,2,2,3,7,3,3,2,2,10.0,TINGGI,6,6,7,7,10
123.0,1,2,2,5,1,2,2,5,2,2,3,7,2,2,2,6,2,2,3,2,9.0,SEDANG,5,5,7,6,9
124.0,2,1,3,6,1,3,2,6,3,3,2,8,2,2,3,7,2,2,2,2,8.0,SEDANG,6,6,8,7,8
125.0,1,1,2,4,1,2,2,5,3,1,1,5,2,2,3,7,2,2,2,1,7.0,SEDANG,4,5,5,7,7
126.0,1,1,2,4,1,2,1,4,3,1,1,5,1,2,3,6,2,2,2,1,7.0,SEDANG,4,4,5,6,7
127.0,2,2,3,7,1,3,2,6,2,1,1,4,1,2,3,6,2,2,2,2,8.0,SEDANG,7,6,4,6,8
128.0,1,1,2,4,1,1,2,4,3,3,2,8,3,1,2,6,1,2,1,1,5.0,RENDAH,4,4,8,6,5
129.0,1,1,2,4,1,3,1,5,3,3,3,9,3,2,2,7,2,3,2,1,8.0,SEDANG,4,5,9,7,8
130.0,2,2,3,7,2,2,2,6,3,1,1,5,1,2,3,6,2,2,3,1,8.0,SEDANG,7,6,5,6,8
131.0,1,2,2,5,1,2,2,5,2,3,2,7,3,2,3,8,3,2,3,1,9.0,SEDANG,5,5,7,8,9
132.0,2,2,2,6,1,2,2,5,2,1,1,4,3,2,2,7,1,2,2,1,6.0,RENDAH,6,5,4,7,6
133.0,2,1,2,5,2,2,2,6,2,3,3,8,2,2,3,7,2,3,2,2,9.0,SEDANG,5,6,8,7,9
134.0,2,1,2,5,2,3,2,7,2,1,1,4,2,2,3,7,3,3,2,2,10.0,TINGGI,5,7,4,7,10
135.0,3,2,3,8,2,2,2,6,2,2,2,6,3,1,3,7,3,2,3,2,10.0,TINGGI,8,6,6,7,10
136.0,3,2,2,7,2,3,2,7,3,1,1,5,2,2,3,7,2,3,2,2,9.0,SEDANG,7,7,5,7,9
137.0,2,1,1,4,1,2,1,4,3,1,1,5,1,2,3,6,1,2,1,1,5.0,RENDAH,4,4,5,6,5
138.0,3,3,2,8,3,3,2,8,1,2,3,6,1,3,2,6,3,2,3,3,11.0,TINGGI,8,8,6,6,11
139.0,3,2,3,8,2,2,2,6,2,2,2,6,1,2,2,5,2,3,2,1,8.0,SEDANG,8,6,6,5,8
140.0,2,2,3,7,2,2,2,6,2,1,1,4,2,2,3,7,3,2,2,2,9.0,SEDANG,7,6,4,7,9
141.0,1,1,2,4,2,1,1,4,3,3,3,9,3,2,3,8,1,2,1,1,5.0,RENDAH,4,4,9,8,5
142.0,2,2,1,5,1,2,2,5,3,2,2,7,3,1,1,5,2,1,2,1,6.0,RENDAH,5,5,7,5,6
143.0,3,2,3,8,2,3,2,7,2,1,1,4,1,2,3,6,3,2,3,2,10.0,TINGGI,8,7,4,6,10
144.0,2,2,3,7,2,3,2,7,2,1,1,4,1,2,3,6,3,2,2,1,8.0,SEDANG,7,7,4,6,8
145.0,1,1,1,3,1,1,1,3,3,3,3,9,3,1,1,5,1,1,1,1,4.0,RENDAH,3,3,9,5,4
146.0,1,1,2,4,1,2,2,5,3,3,2,8,3,1,1,5,2,2,2,2,8.0,SEDANG,4,5,8,5,8
147.0,3,3,2,8,3,3,2,8,1,1,1,3,2,2,3,7,2,3,3,2,10.0,TINGGI,8,8,3,7,10
148.0,3,2,2,7,3,2,1,6,2,2,2,6,1,3,2,6,2,3,2,2,9.0,SEDANG,7,6,6,6,9
149.0,2,2,2,6,1,3,2,6,3,2,3,8,1,2,2,5,2,3,2,1,8.0,SEDANG,6,6,8,5,8
150.0,3,2,3,8,3,2,2,7,1,1,1,3,1,2,3,6,3,2,3,2,10.0,TINGGI,8,7,3,6,10
